Rank,User,Tag
5, Julius Sello Malema (@Julius_S_Malema),
4, News24 (@News24),
3, Jacob G, Zuma (@SAPresident)
2, Gareth Cliff (@GarethCliff),
1, Trevor Noah (@Trevornoah),
Subscribe to the list,,
Tweet about Africa?,,
Celebrate Wild Africa With Us!,,
You have successfully subscribed, Thank you!,
11 Comments,,
